Lista de Precios de Update Plus ,,,,,,,
29 de abril al 26 de mayo de 2020,,,,,,,
"Estos precios aplican cuando el cliente activa  una línea o más en cualquier plan mensual en Update
",,,,,,,
,,,,,,,
Lista de Precios de  Financiamiento- Celulares PYMES/CORP,,,,,,,
28 de mayo al 31 de julio de 2026,,,,,,,
"Estos precios aplican cuando el cliente activa  una línea o más en cualquier plan mensual en  Update o Financiamiento
",,,,,,,
,,,,,,,
NOTA: Los equipos subrayados en azul salieron de portafolio y no vienen más. ,,,,,,,
 Item Code SIF,Número de Material SAP - Aplica solo a Canal Indirecto,Modelo, Precio Regular,Mensualidad 20 meses,Mensualidad 24 meses,Mensualidad 30 meses,Mensualidad 36 meses
,,Price code?,SUBREG,SWCH20/FIUP20,SWCH24/FIUP24,SWCH30/FIUP30,SWCH36/FIUP36
33768H,7013541,iPhone Air 256GB Sky Blue,$999.99,$50.00,$41.67,$33.33,$27.78
33765H,7013538,iPhone Air 256GB Light Gold,$999.99,$50.00,$41.67,$33.33,$27.78
33948H,7013960,SAMSUNG GXY S26 PLUS S947U 256GB BLACK ,"$1,089.99",$54.50,$45.42,$36.33,$30.28
33949H,7013961,SAMSUNG GXY S26 PLUS S947U 256GB COBALT VIOLET ,"$1,089.99",$54.50,$45.42,$36.33,$30.28
33950H,7013962,SAMSUNG GXY S26 PLUS S947U 256GB SKY BLUE ,"$1,089.99",$54.50,$45.42,$36.33,$30.28
33951H,7013963,SAMSUNG GXY S26 PLUS S947U 256GB WHITE ,"$1,089.99",$54.50,$45.42,$36.33,$30.28
33769H,7013547,iPhone 17 Pro 256GB Silver,"$1,099.99",$55.00,$45.83,$36.67,$30.56
33771H,7013549,iPhone 17 Pro 256GB Cosmic Orange,"$1,099.99",$55.00,$45.83,$36.67,$30.56
33770H,7013548,iPhone 17 Pro 256GB Deep Blue,"$1,099.99",$55.00,$45.83,$36.67,$30.56
33810H,7013553,iPhone Air 512GB CLOUD WHITE,"$1,199.99",$60.00,$50.00,$40.00,$33.33
33811H,7013554,iPhone Air 512GB SKY BLUE,"$1,199.99",$60.00,$50.00,$40.00,$33.33
33812H,7013555,iPhone Air 512GB LIGHT GOLD,"$1,199.99",$60.00,$50.00,$40.00,$33.33
33803H,7013551,iPhone 17 Pro Max 256GB Silver,"$1,199.99",$60.00,$50.00,$40.00,$33.33
33775H,7013546,iPhone 17 Pro Max 256GB Cosmic Orange,"$1,199.99",$60.00,$50.00,$40.00,$33.33
33774H,7013545,iPhone 17 Pro Max 256GB Deep Blue,"$1,199.99",$60.00,$50.00,$40.00,$33.33
33802H,7013550,iPhone 17 Pro 512GB Silver,"$1,299.99",$65.00,$54.17,$43.33,$36.11
33773H,7013544,iPhone 17 Pro 512GB Cosmic Orange,"$1,299.99",$65.00,$54.17,$43.33,$36.11
33772H,7013543,iPhone 17 Pro 512GB Deep Blue,"$1,299.99",$65.00,$54.17,$43.33,$36.11
33936H,7013946,SAMSUNG GXY S26 ULTRA S948U 256GB BLACK ,"$1,369.99",$68.50,$57.08,$45.67,$38.06
33937H,7013947,SAMSUNG GXY S26 ULTRA S948U 256GB COBALT VIOLET ,"$1,369.99",$68.50,$57.08,$45.67,$38.06
33938H,7013948,SAMSUNG GXY S26 ULTRA S948U 256GB SKY BLUE ,"$1,369.99",$68.50,$57.08,$45.67,$38.06
33939H,7013949,SAMSUNG GXY S26 ULTRA S948U 256GB WHITE ,"$1,369.99",$68.50,$57.08,$45.67,$38.06
33940H,7013950,SAMSUNG GXY S26 ULTRA S948U 512GB BLACK ,"$1,369.99",$68.50,$57.08,$45.67,$38.06
33942H,7013952,SAMSUNG GXY S26 ULTRA S948U 512GB SKY BLUE ,"$1,369.99",$68.50,$57.08,$45.67,$38.06
33818H,7013636,iPhone 17 Pro Max 512GB SILVER,"$1,399.99",$70.00,$58.33,$46.67,$38.89
33819H,7013637,iPhone 17 Pro Max 512GB COSMIC ORANGE,"$1,399.99",$70.00,$58.33,$46.67,$38.89
33817H,7013635,iPhone 17 Pro Max 512GB DEEP BLUE,"$1,399.99",$70.00,$58.33,$46.67,$38.89
33730H,7013421,SAMSUNG GXY Z FOLD 7 F966U 256GB JET BLACK ,"$1,899.99",$95.00,$79.17,$63.33,$52.78
33731H,7013422,SAMSUNG GXY Z FOLD 7 F966U 256GB BLUE SHADOW ,"$1,899.99",$95.00,$79.17,$63.33,$52.78
33732H,7013423,SAMSUNG GXY Z FOLD 7 F966U 256GB SILVER SHADOW ,"$1,899.99",$95.00,$79.17,$63.33,$52.78
